,NAME_3,price(million)
367,Ganyu,926649.0
368,Ganzhou,624517.6408000004
369,Gao,74739.95999999999
370,Gao'an,682672.0
371,Gaochun,470540.55439999973
372,Gaolan,118448.48589999997
373,Gaoling,322790.63930000004
374,Gaomi,395279.3002000002
375,Gaoming,567420.9627
376,Gaoping,158105.81979999994
377,Gaoqing,303879.55
378,Gaotai,47461.80570000001
379,Gaotang,245228.7152
380,Gaoyang,53365.0
381,Gaoyao,134576.8080999998
382,Gaoyi,31584.0
383,Gaoyou,2371914.4659000025
384,Gaozhou,375726.8666000001
385,Gejiu,131471.00669999988
386,Gengma Dai and Va,51884.8475
387,Genhe,11334.835999999996
388,Golmud,77996.11059999997
389,Gong,19592452.363100026
390,Gong'an,382715.83470000053
391,Gongcheng Yao,33660.71869999999
392,Gonghe,15553.594299999988
393,Gongliu,17544.0942
394,Gongshan Derung and Nu,1207.7483000000002
395,Gu,6561.2052
396,Gu'an,2206015.6788
397,Guan,164996.44219999996
398,Guang'an,164865.76999999996
399,Guangchang,82417.41999999998
400,Guangde,197954.23230000012
401,Guangfeng,518228.45930000005
402,Guanghan,179966.53689999983
403,Guanghe,19333.760000000002
404,Guangji,5988.528
405,Guangling,32330.008399999995
406,Guangnan,58821.15699999999
407,Guangning,29196.97
408,Guangping,88396.4954
409,Guangrao,626323.3345000001
410,Guangshan,108918.7346
411,Guangze,24187.115999999995
412,Guangzhou,22498000.6009
413,Guangzong,63382.241299999994
414,Guannan,500220.0240000002
415,Guantao,80519.9536
416,Guanyang,23751.37
417,Guanyun,1014760.0
418,Gucheng,248384.40950000004
419,Gui,592787.2545999999
420,Guichi,522412.0
421,Guide,46398.85139999999
422,Guiding,233753.9360999999
423,Guilin,909220.2241
424,Guinan,1312.891
425,Guiping,209960.67199999982
426,Guixi,178227.3515
427,Guiyang,2483907.095799997
428,Gujiao,63366.6
429,Gulin,81383.2514
430,Guoyang,2373167.3390000006
431,Gushi,156533.8884
432,Gutian,138627.4811
433,Guyang,16088.423200000003
434,Guyuan,223413.73969999998
435,Guzhen,599861.1172
436,Habahe,6829.779200000004
437,Hai'an,3381308.5852
438,Haibowan,190610.38719999985
439,Haicheng,679349.72
440,Haifeng,261226.80009999996
441,Haikou,2915155.275299997
442,Hailar,482417.50999999995
443,Hailin,51314.91600000003
444,Hailun,49596.20390000001
445,Haimen,2922881.640700001
446,Haining,1975900.2347999997
447,Haixing,55526.616199999975
448,Haiyan,974853.8343999994
449,Haiyang,505385.5294000001
450,Haiyuan,16881.725300000002
451,Hami,2929.9908
452,Hancheng,241577.88619999992
453,Hanchuan,475354.41360000015
454,Handan Xiàn,727088.8941999999
455,Handan shì,1569533.0803999992
456,Hanggin,119139.26210000004
457,Hangu,48080.0
458,Hangzhou,21846641.182000004
459,Hanjiang,1014271.0174999995
460,Hanshan,777173.0302999993
461,Hanyang,21869.413199999995
462,Hanyin,10724.58
463,Hanyuan,22175.426399999997
464,Hanzhong,769072.6176999994
465,Harbin,6613680.557000004
466,Harqin,73928.483
467,Harqin Left Mongol,206175.21
468,He,1084110.3646000011
469,Hebi,738193.4206
470,Hechi,147586.09090000007
471,Hefei,22274470.01330001
472,Hefeng,15780.7672
473,Hegang shì,113103.0787
474,Heihe,24431.7
475,Heishan,126540.15139999996
476,Hejian,225919.9386
477,Hejiang,249308.55530000007
478,Hejin,76960.3268
479,Hejing,16316.252499999997
480,Hekou,5106.595
481,Hekou Yao,52723.64200000006
482,Helan,252392.9772
483,Helong,21598.098299999965
484,Henan Mongol,1107.82
485,Heng,87204.69959999996
486,Hengfeng,96963.056
487,Hengshan,104817.625
488,Hengshui,676667.8209000002
489,Hengyang Shì,4591676.976300003
490,Hengyang Xiàn,171428.03300000002
491,Heping,36538.582500000004
492,Hepu,91850.1054999999
493,Heqing,32037.344500000007
494,Hequ,77618.1329
495,Heshan,265715.45379999996
496,Heshui,51891.653800000015
497,Heshun,25702.089
498,Hexigten,108924.29679999998
499,Heyang,44929.43310000001
500,Heze,1407376.2435999997
501,Hezhang,365013.7722
502,Hezheng,91390.3394
503,Hoboksar Mongol,13844.1332
504,Hohhot,3123826.7794999983
505,Hong'an,59598.3
506,Honghe,25611.99500000001
507,Honghu,164323.08079999976
508,Hongtong,131258.6952
509,Hongya,169083.1
510,Hongze,1115145.51
511,Horinger,130546.19839999994
512,Horqin Left Back,57604.210100000004
513,Horqin Left Middle,60235.26999999998
514,Horqin Right Front,26714.7687
515,Horqin Right Middle,19940.280100000014
516,Houjia,785588.0127999987
517,Houma,111947.57780000003
518,Hoxud,8564.9431
519,Hu,333699.5133999999
520,Hua,187609.88060000006
521,Hua'an,81491.7735
522,Huachi,12252.9736
523,Huachuan,51600.022899999996
524,Huade,38447.31999999995
525,Huadian,214455.30379999997
526,Huai'an,38453.013999999996
527,Huaian,2021113.7486999906
528,Huaibei,545731.4812
529,Huaide,390810.01
530,Huaiji,82212.25999999998
531,Huailai,657559.9322
532,Huainan,1104831.8217
533,Huaining,268188.7823999999
534,Huairen,257162.66100000002
535,Huairou,13100.0
536,Huaiyang,66623.03169999999
537,Huaiyin,395560.91709999926
538,Huaiyuan,613259.2
539,Hualong Hui,55896.55110000001
540,Huan,26456.873299999992
541,Huanan,38382.4197
542,Huangchuan,108872.70460000003
543,Huangdao,2750413.315000001
544,Huanggang,5988.528
545,Huanghua,373667.7544
546,Huangling,48083.918099999995
547,Huanglong,4275.929
548,Huangmei,397682.6434
549,Huangpi,809101.4537
550,Huangping,43641.53490000003
551,Huangshi,1034544.0462999996
552,Huangyan,1086414.7973
553,Huangyuan,21951.593
554,Huangzhong,300200.26050000003
555,Huaning,27472.0358
556,Huanjiang Maonan,24701.8006
557,Huanren Manchu,80258.36
558,Huantai,200269.8034
559,Huaping,43940.165899999985
560,Huating,37739.831399999995
561,Huaxi,564025.5525000001
562,Huaxian,22498000.6009
563,Huayin,50453.72
564,Huayun,861063.0463999996
565,Huazhou,211571.40939999997
566,Huelu,7386929.210999999
567,Huguan,37615.4024
568,Hui,29824.354999999996
569,Hui'an,558715.5995000002
570,Huichang,221683.26
571,Huidong,499369.1579000002
572,Huilai,135513.6524
573,Huili,48817.004000000015
574,Huimin,384436.5566
575,Huinan,57283.3212
576,Huining,134995.56509999995
577,Huixian,84333.16480000006
578,Huiyang,479320.09430000006
579,Huize,30744.902799999993
580,Huizhou,1575543.3610000005
581,Hukou,342864.5424999998
582,Hulan,208561.753
583,Hulin,19359.585199999998
584,Huma,5364.669999999998
585,Hunchun,180135.29379999966
586,Hunyuan,45664.0
587,Huo,210289.5921
588,Huocheng,93078.07950000007
589,Huolin Gol,146809.256
590,Huoqiu,601722.5323000003
591,Huoshan,344605.4489999997
592,Hure,43763.06539999999
593,Hutubi,108803.50630000002
594,Huzhong,5364.669999999998
595,Huzhou,587107.9296
596,Huzhu Tu,124312.74910000003
597,Hóngjiang Shì,86841.31470000005
598,Jainca,11042.107100000001
599,Jalaid,82352.85610000005
600,Jarud,60076.29999999998
601,Jeminay,57957.80139999999
602,Ji,9359209.247100003
603,Ji An,204582.8137999999
604,Ji'an,216980.19550000006
605,Jia,147737.46000000002
606,Jiajiang,133707.5495
607,Jiamusi,154216.29340000002
608,Jian'ou,189811.77190000008
609,Jianchang,79236.38699999994
610,Jianchuan,36428.45689999998
611,Jiande,345050.0711
612,Jiang,31644.254000000004
613,Jiang'an,128513.61390000001
614,Jiangcheng Hani and Yi,17174.365199999997
615,Jiangchuan,75880.5163
616,Jiangdu,1181592.5670999999
617,Jiange,53283.39239999996
618,Jiangkou,62724.41999999999
619,Jiangle,73539.96710000001
620,Jiangling,184376.77149999994
621,Jiangmen,1337079.8441999997
