ID_1,NAME_1,ID_2,NAME_2,NAME_2_CHINESE
25,Shanxi,264,Jincheng,晋城市
25,Shanxi,265,Jinzhong,晋中市
25,Shanxi,266,Linfen,临汾市
25,Shanxi,267,Luliang,吕梁市
25,Shanxi,268,Shuozhou,朔州市
25,Shanxi,269,Taiyuan,太原市
25,Shanxi,270,Xinzhou,忻州市
25,Shanxi,271,Yangquan,阳泉市
25,Shanxi,272,Yuncheng,运城县
26,Sichuan,273,Bazhong,巴中市
26,Sichuan,274,Chengdu,成都市
26,Sichuan,275,Dazhou,达州市
26,Sichuan,276,Deyang,德阳市
26,Sichuan,277,Garzê Tibetan,甘孜藏族自治州
26,Sichuan,278,Guang'an,广安市
26,Sichuan,279,Guangyuan,广元市
26,Sichuan,280,Leshan,乐山市
26,Sichuan,281,Liangshan Yi,凉山彝族自治州
26,Sichuan,282,Luzhou,泸州市
26,Sichuan,283,Meishan,眉山市
26,Sichuan,284,Mianyang,绵阳市
26,Sichuan,285,Nanchong,南充市
26,Sichuan,286,Neijiang]],内江市
26,Sichuan,287,Neijiang,内江市
26,Sichuan,288,Ngawa Tibetan and Qiang,阿坝藏族羌族自治州
26,Sichuan,289,Panzhihua,攀枝花市
26,Sichuan,290,Suining,遂宁市
26,Sichuan,291,Ya'an,雅安市
26,Sichuan,292,Yibin,宜宾市
26,Sichuan,293,Zigong,自贡市
26,Sichuan,294,Ziyang,资阳市
27,Tianjin,295,Tianjin,天津
28,Xinjiang Uygur,296,Aksu,阿克苏地区
28,Xinjiang Uygur,297,Altay,阿勒泰地区
28,Xinjiang Uygur,298,Ürümqi,乌鲁木齐市
28,Xinjiang Uygur,299,Börtala Mongol,博尔塔拉蒙古自治州
28,Xinjiang Uygur,300,Bayin'gholin Mongol,巴音郭愣蒙古自治州
28,Xinjiang Uygur,301,Changji Hui,昌吉回族自治州
28,Xinjiang Uygur,302,Hami,哈密地区
28,Xinjiang Uygur,303,Ili Kazakh,伊犁哈萨克自治州
28,Xinjiang Uygur,304,Karamay,克拉玛依市
28,Xinjiang Uygur,305,Kashgar,喀什地区
28,Xinjiang Uygur,306,Khotan,和田地区
28,Xinjiang Uygur,307,Kizilsu Kirghiz,克孜勒苏柯尔克孜自治州
28,Xinjiang Uygur,308,Shihezi,石河子市
28,Xinjiang Uygur,309,Tacheng,塔城地区
28,Xinjiang Uygur,310,Turfan,吐鲁番地区
29,Xizang,311,Chamdo,昌都地区
29,Xizang,312,Lhasa,拉萨市
29,Xizang,313,Nagchu,那曲地区
29,Xizang,314,Ngari,阿里地区
29,Xizang,315,Nyingtri,林芝地区
29,Xizang,316,Shannan,山南地区
29,Xizang,317,Shigatse,日喀则地区
30,Yunnan,318,Baoshan,保山市
30,Yunnan,319,Chuxiong Yi,楚雄彝族自治州
30,Yunnan,320,Dêqên Tibetan,迪庆藏族自治州
30,Yunnan,321,Dali Bai,大理白族自治州
30,Yunnan,322,Dehong Dai and Jingpo,德宏傣族景颇族自治州
30,Yunnan,323,Honghe Hani and Yi,红河哈尼族彝族自治州
30,Yunnan,324,Kunming,昆明市
30,Yunnan,325,Lijiang,丽江市
30,Yunnan,326,Lincang,临沧市
30,Yunnan,327,Nujiang Lisu,怒江傈僳族自治州
30,Yunnan,328,Pu'er,普洱市
30,Yunnan,329,Qujing,曲靖市
30,Yunnan,330,Wenshan Zhuang and Miao,文山壮族苗族自治州
30,Yunnan,331,Xishuangbanna Dai,西双版纳傣族自治州
30,Yunnan,332,Yuxi,玉溪市
30,Yunnan,333,Zhaotong,昭通市
31,Zhejiang,334,Hangzhou,杭州市
31,Zhejiang,335,Huzhou,湖州市
31,Zhejiang,336,Jiaxing,嘉兴市
31,Zhejiang,337,Jinhua,金华市
31,Zhejiang,338,Lishui,丽水市
31,Zhejiang,339,Ningbo,宁波市
31,Zhejiang,340,Quzhou,衢州市
31,Zhejiang,341,Shaoxing,绍兴市
31,Zhejiang,342,Taizhou,台州市
31,Zhejiang,343,Wenzhou,温州市
31,Zhejiang,344,Zhoushan,舟山市
